Department	em_votes	em_pct	mlp_votes	mlp_pct	ff_votes	ff_pct	jlm_votes	jlm_pct	bh_votes	bh_pct	nda_votes	nda_pct	jl_votes	jl_pct	pp_votes	pp_pct	fa_votes	fa_pct	na_votes	na_pct	jc_votes	jc_pct
Maine-et-Loire	121685	26.51	77935	16.98	108888	23.73	78293	17.06	29553	6.44	25321	5.52	3483	0.76	5696	1.24	3439	0.75	3860	0.84	805	0.18
Manche	74683	24.86	61620	20.51	64909	21.60	51026	16.98	19238	6.40	17052	5.68	2520	0.84	4134	1.38	2048	0.68	2593	0.86	623	0.21
Marne	60958	20.75	82473	28.07	65081	22.15	44424	15.12	13683	4.66	16896	5.75	2350	0.80	2762	0.94	2441	0.83	2176	0.74	525	0.18
Haute-Marne	18438	18.00	34027	33.22	19590	19.12	15380	15.01	4292	4.19	6417	6.26	1126	1.10	1233	1.20	813	0.79	926	0.90	198	0.19
Mayenne	46938	26.04	30465	16.90	48772	27.06	26798	14.87	10247	5.69	10107	5.61	1525	0.85	2242	1.24	1182	0.66	1627	0.90	329	0.18
Meurthe-et-Moselle	83703	22.04	98194	25.86	62654	16.50	77400	20.38	23632	6.22	19331	5.09	3236	0.85	4483	1.18	3458	0.91	2942	0.77	733	0.19
Meuse	20713	19.35	34602	32.32	19287	18.02	16020	14.97	4918	4.59	6802	6.35	1294	1.21	1430	1.34	856	0.80	886	0.83	237	0.22
Morbihan	130639	27.86	82927	17.69	97900	20.88	82020	17.49	34368	7.33	22411	4.78	4820	1.03	6309	1.35	3249	0.69	3291	0.70	901	0.19
Moselle	117738	21.05	158542	28.35	96003	17.17	100118	17.90	29480	5.27	32525	5.82	5763	1.03	6975	1.25	5977	1.07	4929	0.88	1167	0.21
Nièvre	27356	22.71	29817	24.76	20773	17.25	23079	19.16	7854	6.52	6446	5.35	1365	1.13	1547	1.28	959	0.80	1004	0.83	234	0.19
Nord	268723	19.85	382030	28.22	226710	16.75	288115	21.28	76531	5.65	65245	4.82	8535	0.63	13151	0.97	11450	0.85	10975	0.81	2338	0.17
Oise	86680	19.80	135188	30.88	76783	17.54	77415	17.68	20525	4.69	23936	5.47	3414	0.78	4682	1.07	4666	1.07	3677	0.84	827	0.19
Orne	35815	21.57	39532	23.81	41084	24.74	24542	14.78	8659	5.21	9644	5.81	1480	0.89	2147	1.29	1291	0.78	1513	0.91	350	0.21
Pas-de-Calais	153682	18.45	286147	34.35	119077	14.29	159342	19.13	43084	5.17	41427	4.97	5832	0.70	9002	1.08	5484	0.66	8667	1.04	1408	0.17
Puy-de-Dôme	96797	27.15	63030	17.68	58432	16.39	78417	21.99	25814	7.24	15635	4.38	7348	2.06	4730	1.33	2910	0.82	2699	0.76	755	0.21
Pyrénées-Atlantiques	103958	26.28	54376	13.74	71858	18.16	78803	19.92	30589	7.73	14727	3.72	29882	7.55	6371	1.61	2782	0.70	1799	0.45	508	0.13
Hautes-Pyrénées	35070	25.11	25947	18.57	20220	14.48	32148	23.01	9935	7.11	5876	4.21	6928	4.96	1575	1.13	1023	0.73	767	0.55	200	0.14
Pyrénées-Orientales	49245	18.46	80169	30.05	45865	17.19	56392	21.14	13455	5.04	9741	3.65	4634	1.74	3053	1.14	2303	0.86	1477	0.55	453	0.17
Bas-Rhin	133347	22.29	147714	24.70	131564	22.00	88420	14.78	31931	5.34	39299	6.57	6420	1.07	6549	1.09	6841	1.14	4823	0.81	1197	0.20
